problem_id,source,competition,year,country,domain,subtopic,difficulty,difficulty_source,concepts,prerequisites,solution_depth,estimated_time_minutes,proof_required,reasoning_intensity,calculation_intensity,major_steps,problem_type,language,data_type,problem_text,final_answer,solution_length,solution_words,solution_paragraphs,equation_count,reasoning_indicators,proof_indicators,case_analysis,calculation_indicators,solution_major_steps
MATHNET-06j5,MathNet,1997-2023 IMO HK TST,,Hong Kong,Discrete Mathematics,Combinatorics,,unknown,"Coloring schemes, extremal arguments | Counting two ways | Invariants / monovariants",,,,True,,,,proof and answer,,real,"A $11 \times 11$ grid is to be covered completely without overlapping by some $2 \times 2$ squares and $L$-shapes each composed of three unit cells. Determine the smallest number of $L$-shapes used. (Each shape must cover some grids entirely and cannot be placed outside the $11 \times 11$ grid. The $L$-shapes may be reflected or rotated when placed on the grid.)

![](attached_image_1.png)",23,505,92,5,9,1,1,0,0,5
MATHNET-06op,MathNet,IMO 2006 Shortlisted Problems,,IMO,Algebra | Discrete Mathematics | Geometry,Graph Theory | Linear Algebra | Solid Geometry,,unknown,Other 3D problems | Euler characteristic: V-E+F | Vectors,,,,True,,,,proof and answer,English,real,"Consider a convex polyhedron without parallel edges and without an edge parallel to any face other than the two faces adjacent to it.
Call a pair of points of the polyhedron antipodal if there exist two parallel planes passing through these points and such that the polyhedron is contained between these planes.
Let $A$ be the number of antipodal pairs of vertices, and let $B$ be the number of antipodal pairs of midpoints of edges. Determine the difference $A-B$ in terms of the numbers of vertices, edges and faces.",A - B = m - ℓ + 1 = n - 1,15438,2349,22,372,22,17,28,5,20
MATHNET-0710,MathNet,Iberoamerican Mathematical Olympiad,,Ibero-American Mathematical Olympiad,Geometry,Plane Geometry,,unknown,Geometric Inequalities > Optimization in geometry | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Angle chasing | Triangles > Triangle trigonometry,,,,True,,,,proof and answer,,real,"Problem:
A convex hexagon is called a unit if it has four diagonals of length $1$, whose endpoints include all the vertices of the hexagon. Show that there is a unit of area $k$ for any $0 < k \leq 1$. What is the largest possible area for a unit?",3*sqrt(3)/4,2805,503,19,56,4,1,4,0,19
MATHNET-077h,MathNet,INMO,,India,Geometry,Plane Geometry,,unknown,"Concurrency and Collinearity > Ceva's theorem | Miscellaneous > Constructions and loci | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",,,,True,,,,proof and answer,,real,"Problem:

Betal marks $2021$ points on the plane such that no three are collinear, and draws all possible line segments joining these. He then chooses any $1011$ of these line segments, and marks their midpoints. Finally, he chooses a line segment whose midpoint is not marked yet, and challenges Vikram to construct its midpoint using only a straightedge. Can Vikram always complete this challenge?

Note: A straightedge is an infinitely long ruler without markings, which can only be used to draw the line joining any two given distinct points.",Yes,3831,721,16,104,2,7,7,0,16
MATHNET-07d3,MathNet,Iranian Mathematical Olympiad,,Iran,Algebra | Discrete Mathematics,Combinatorics | Linear Algebra,,unknown,"Counting two ways | Coloring schemes, extremal arguments | Vectors",,,,True,,,,proof and answer,,real,"There are 27 cards, each has some amount of (1 or 2 or 3) shapes (a circle, a square or a triangle) with some color (white, grey or black) on them. We call a triple of cards a **match** such that all of them have the same amount of shapes or mutually distinct amount of shapes, have the same shape or mutually distinct shapes and have the same color or mutually distinct colors. For instance, three cards shown in the figure are a **match** because they have distinct amount of shapes, distinct shapes but the same color of shapes.

What is the maximum number of cards that we can choose such that
none of the triples make a **match**?
![](attached_image_1.png)",9,5896,1026,6,136,2,8,8,1,6
MATHNET-07nk,MathNet,Ireland,,Ireland,Discrete Mathematics,Combinatorics,,unknown,"Enumeration with symmetry | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"A *Colombian Square* is a $6 \times 6$ square which is subdivided into $36$ unit squares, each of which is coloured either Yellow, Blue or Red according to the following rules:

a. No row or column may contain more than two unit squares of the same colour.

b. In any set of four unit squares obtained by intersecting two rows with two columns, no colour is to occur exactly three times.

How many different Colombian Squares are there?",24300,5354,937,31,32,11,0,2,0,20
MATHNET-0855,MathNet,XXII OLIMPIADE ITALIANA DI MATEMATICA,,Italy,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Transformations > Translation | Transformations > Homothety | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Vectors",,,,True,,,,proof and answer,,real,"Problem:

Sia $\Gamma$ una circonferenza e siano $A$ e $B$ due punti distinti di $\Gamma$ non diametralmente opposti. Sia $P$ un punto variabile in $\Gamma$ diverso da $A$ e da $B$ e sia $H$ l'ortocentro del triangolo $A B P$. Determinare il luogo descritto da $H$ al variare di $P$.","The locus is the circle Γ′ obtained by reflecting Γ across the line AB (equivalently, translating Γ by the vector CA, where C is diametrically opposite to B), with the two points A′ and B′ (the images of A and B) removed.",4608,837,13,152,0,0,0,0,13
MATHNET-08m2,MathNet,2009 Shortlist JBMO,,JBMO,Discrete Mathematics,Combinatorics | Graph Theory,,unknown,"Matchings, Marriage Lemma, Tutte's theorem | Coloring schemes, extremal arguments | Counting two ways",,,,True,,,,proof and answer,,real,"Problem:

Five players $A$, $B$, $C$, $D$, $E$ take part in a bridge tournament. Every two players must play (as partners) against every other two players. Any two given players can be partners not more than once per day. What is the least number of days needed for this tournament?",4,2663,497,15,58,2,3,0,0,15
MATHNET-08yo,MathNet,Japan Mathematical Olympiad,,Japan,Discrete Mathematics,Combinatorics,,unknown,Invariants / monovariants | Games / greedy algorithms,,,,True,,,,proof and answer,English,real,"In a $7 \times 7$ chessboard, a coin is placed in the square in the first row from the top, the fourth column from the left. We call square $Y$ a lower left square of square $X$ if $Y$ is $k$ squares to the left and $k$ squares below $X$ for some positive integer $k$. Similarly, we call square $Y$ a lower right square of square $X$ if $Y$ is $k$ squares to the right and $k$ squares below $X$ for some positive integer $k$. For a square $X$ not on the bottom line, one can perform one of the following four operations when a coin is placed on $X$:

a. Remove a coin from $X$ and place a coin in the square one below $X$.

b. Remove a coin from $X$ and place coins in each of the lower left squares of $X$.

c. Remove a coin from $X$ and place coins in each of the lower right squares of $X$.

d. Remove a coin from $X$ and place coins in the square one square to the left and one square below $X$, and the square one square to the right and one square below $X$. If there is only one such square, place a coin in that square only.

If there is already a coin in the place where one intends to place a coin, one will not place the coin there.
Find the maximum possible number of coins that can be placed on the square when the operation is performed an arbitrary number of times.

![](attached_image_1.png)
(a)
![](attached_image_2.png)
(b)
![](attached_image_3.png)
(c)
![](attached_image_4.png)
(d)",19,1872,398,8,102,0,1,1,1,8
MATHNET-090w,MathNet,LVI Olimpiada Matemática Española (Concurso Final),,Mexico,Geometry,Plane Geometry,,unknown,"Circles > Tangents | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",,,,True,,,,proof only,Spanish,real,"En un triángulo acutángulo $ABC$, sea $M$ el punto medio del lado $AB$ y $P$ el pie de la altura sobre el lado $BC$. Prueba que si $AC + BC = \sqrt{2}AB$, entonces la circunferencia circunscrita del triángulo $BMP$ es tangente al lado $AC$.",,1045,184,3,25,0,0,0,0,3
MATHNET-090z,MathNet,MEMO Mathematical Olympiad,,Middle European Mathematical Olympiad (MEMO),Geometry,Plane Geometry,,unknown,Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Cartesian coordinates | Analytic / Coordinate Methods > Vectors | Quadrilaterals,,,,True,,,,proof and answer,,real,"Problem:

Let $n \geq 3$ be an integer. We say that a vertex $A_{i}$ ($1 \leq i \leq n$) of a convex polygon $A_{1} A_{2} \ldots A_{n}$ is Bohemian if its reflection with respect to the midpoint of the segment $A_{i-1} A_{i+1}$ (with $A_{0}=A_{n}$ and $A_{n+1}=A_{1}$) lies inside or on the boundary of the polygon $A_{1} A_{2} \ldots A_{n}$. Determine the smallest possible number of Bohemian vertices a convex $n$-gon can have (depending on $n$).

(A convex polygon $A_{1} A_{2} \ldots A_{n}$ has $n$ vertices with all inner angles smaller than $180^{\circ}$.)",n−3,7562,1229,28,163,9,12,15,2,20
MATHNET-095q,MathNet,A 62 - A OLIMPIADĂ DE MATEMATICĂ A REPUBLICII MOLDOVA,,Moldova,Geometry,Solid Geometry,,unknown,3D Shapes | Volume,,,,True,,,,proof and answer,,real,"Problem:

Fie cubul $ABCD A_{1} B_{1} C_{1} D_{1}$. Punctul $K$ este un punct interior al muchiei $B B_{1}$ astfel încât $BK / K B_{1} = m$. Prin punctele $K$ și $C_{1}$ este trasat un plan $\alpha$, paralel dreptei $B D_{1}$.

a. Fie $P$ punctul de intersecție al planului $\alpha$ cu dreapta $A_{1} B_{1}$. Găsiți valoarea raportului $A_{1} P / P B_{1}$.

b. Planul $\alpha$ divizează cubul în 2 părți. Găsiți raportul volumelor acestor părți.","a) A1P/PB1 = |m − 1|, i.e. m > 1: m − 1; m = 1: 0; 0 < m < 1: 1 − m.
b) The volume ratio of the two parts (V_part1/V_part2) is:
- for m ≥ 1: 1 / (6 m^2 + 6 m − 1);
- for 0 < m ≤ 1: (3 − 3 m + m^2) / (3 + 9 m − m^2).",4020,644,28,62,0,0,0,0,20
MATHNET-09et,MathNet,Mongolian Mathematical Olympiad,,Mongolia,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics | Graph Theory,,unknown,"Generating functions | Recursion, bijection | Sequences and Series > Recurrence relations",,,,True,,,,proof and answer,English,real,"There were two parallel railways, on the first of which are $n$ stations and on the other are $m$ stations. A company constructed a new station between the railways and connected by railways the new station with the old ones. From an economical point of view, the company decided to close some railways between stations to have only $n + m$ railways. How many ways can it be arranged so that one could make a journey from any station to any other station?
(proposed by B. Horoldagwa)",\frac{1}{5}\left(\left(\frac{3+\sqrt{5}}{2}\right)^n - \left(\frac{3-\sqrt{5}}{2}\right)^n\right)\left(\left(\frac{3+\sqrt{5}}{2}\right)^m - \left(\frac{3-\sqrt{5}}{2}\right)^m\right),3191,465,15,60,4,0,1,3,15
MATHNET-09tk,MathNet,IMO-selectietoets,,Netherlands,Geometry,Plane Geometry,,unknown,Circles > Tangents | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:

Gegeven is een driehoek $\triangle A B C$ met $\angle C=90^{\circ}$. Het midden van $A C$ noemen we $D$ en de loodrechte projectie van $C$ op $B D$ noemen we $E$. Bewijs dat de raaklijn in $C$ aan de omgeschreven cirkel van $\triangle A E C$ loodrecht op $A B$ staat.

![](attached_image_1.png)",,2371,438,10,53,0,0,0,0,10
MATHNET-0a6c,MathNet,NZMO Round One,,New Zealand,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization,,unknown,Factorization techniques | Sequences and Series > Sums and products,,,,True,,,,proof and answer,,real,"Problem:
A dot-trapezium consists of several rows of dots such that each row contains one more dot than the row immediately above (apart from the top row). For example here is a dot-trapezium consisting of 15 dots, having 3 rows and 4 dots in the top row.

![](attached_image_1.png)

A positive integer $n$ is called a trapezium-number if there exists a dot-trapezium consisting of exactly $n$ dots, with at least two rows and at least two dots in the top row. How many trapezium-numbers are there less than 100?",88,5741,1230,31,102,4,1,6,12,20
MATHNET-0a7r,MathNet,"Nordic Mathematical Contest, NMC 9",,Nordic Mathematical Olympiad,Geometry,Plane Geometry,,unknown,Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Cartesian coordinates | Miscellaneous > Constructions and loci,,,,True,,,,proof only,,real,"Problem:

Let $AB$ be a diameter of a circle with centre $O$. We choose a point $C$ on the circumference of the circle such that $OC$ and $AB$ are perpendicular to each other. Let $P$ be an arbitrary point on the (smaller) arc $BC$ and let the lines $CP$ and $AB$ meet at $Q$. We choose $R$ on $AP$ so that $RQ$ and $AB$ are perpendicular to each other.

![](attached_image_1.png)

Show that $|BQ| = |QR|$.",,939,204,4,28,1,0,0,0,4
MATHNET-0akr,MathNet,Macedonian Mathematical Olympiad,,North Macedonia,Geometry,Plane Geometry,,unknown,"Advanced Configurations > Simson line | Concurrency and Collinearity > Menelaus' theorem | Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",,,,True,,,,proof only,English,real,"Let $\triangle ABC$ be an acute triangle with orthocenter $H$. The point $H'$ is symmetric with $H$ with respect to the line $AB$. Let $N$ be the intersection point of $HH'$ and $AB$. The circle passing through the points $A$, $N$ and $H'$ intersects again the line $AC$ at $M$, and the circle passing through the points $B$, $N$ and $H'$ intersects again the line $BC$ at $P$. Prove that the points $M$, $N$ and $P$ are colinear.",,4728,729,14,99,14,3,0,0,14
MATHNET-0b1l,MathNet,"$22^{	ext {nd }}$ Philippine Mathematical Olympiad National Stage, Written Phase",,Philippines,Discrete Mathematics,Combinatorics,,unknown,"Invariants / monovariants | Coloring schemes, extremal arguments | Counting two ways",,,,True,,,,proof and answer,,real,"Problem:
A T-tetromino is formed by adjoining three unit squares to form a $1 \times 3$ rectangle, and adjoining on top of the middle square a fourth unit square. Determine the minimum number of unit squares that must be removed from a $202 \times 202$ grid so that it can be tiled with T-tetrominoes.",4,1638,280,8,16,0,2,0,2,8
MATHNET-0bzc,MathNet,THE Tenth ROMANIAN MASTER OF MATHEMATICS,,Romania,Geometry,Plane Geometry,,unknown,Quadrilaterals > Quadrilaterals with perpendicular diagonals | Quadrilaterals > Cyclic quadrilaterals | Circles > Radical axis theorem | Concurrency and Collinearity > Desargues theorem | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Angle chasing,,,,True,,,,proof only,English,real,"Let $ABCD$ be any convex quadrangle and let $P, Q, R, S$ be points on the segments $AB, BC, CD$, and $DA$, respectively. It is given that the segments $PR$ and $QS$ dissect $ABCD$ into four quadrangles, each of which has perpendicular diagonals. Show that the points $P, Q, R, S$ are concyclic.

Nikolai Beluhov, Bulgaria",,6981,1211,16,182,11,15,7,0,16
