problem_id,similar_problem_id,similarity_score,rank,domain,subtopic,difficulty,difficulty_label,similar_domain,similar_subtopic,similar_difficulty,similar_difficulty_label,same_domain,same_difficulty
MATHNET-01l1,MATHNET-0g0v,0.8166876580068563,3,Discrete Mathematics,Combinatorics,3,Medium,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization,3,Medium,False,True
MATHNET-01l1,MATHNET-0cvb,0.8108316675975507,4,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
MATHNET-01l1,MATHNET-02qx,0.808715981876662,5,Discrete Mathematics,Combinatorics,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-01l1,MATHNET-024k,0.8047978365543578,6,Discrete Mathematics,Combinatorics,3,Medium,Algebra,Prealgebra / Basic Algebra,3,Medium,False,True
MATHNET-01l1,MATHNET-0fxg,0.7991915548058992,7,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,2,Easy,True,False
MATHNET-01l1,MATHNET-0eex,0.7979437573088448,8,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
MATHNET-01l1,MATHNET-09qh,0.7965484930782112,9,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics | Number Theory,Combinatorics | Other,3,Medium,False,True
MATHNET-01l1,MATHNET-084e,0.7848256878667849,10,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization,3,Medium,False,True
MATHNET-0217,MATHNET-0455,0.9674479047612652,1,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-0akr,0.907914541346841,2,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-06pl,0.8700491540408101,3,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-04u6,0.8548102351896435,4,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-0bow,0.8498726068192102,5,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-05dk,0.8429794993819708,6,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-0glc,0.8153641608352279,7,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-0kfw,0.8097397229200088,8,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-0217,MATHNET-0906,0.8039013345172322,9,Geometry,Plane Geometry,5,Very Hard,Number Theory,Diophantine Equations | Divisibility / Factorization | Residues and Primitive Roots,5,Very Hard,False,True
MATHNET-0217,MATHNET-04t3,0.7923135161531093,10,Geometry,Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-021o,MATHNET-0kd5,0.8250973385453589,1,Algebra,Prealgebra / Basic Algebra,3,Medium,Geometry,Plane Geometry | Solid Geometry,3,Medium,False,True
MATHNET-021o,MATHNET-08rj,0.7843862651101773,2,Algebra,Prealgebra / Basic Algebra,3,Medium,Geometry,Solid Geometry,3,Medium,False,True
MATHNET-021o,MATHNET-01qk,0.7715486448019748,3,Algebra,Prealgebra / Basic Algebra,3,Medium,Algebra,Algebraic Expressions | Equations and Inequalities,3,Medium,True,True
MATHNET-021o,MATHNET-0652,0.7692022552367493,4,Algebra,Prealgebra / Basic Algebra,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-021o,MATHNET-01ei,0.758885612195924,5,Algebra,Prealgebra / Basic Algebra,3,Medium,Geometry,Plane Geometry,4,Hard,False,False
MATHNET-021o,MATHNET-06nw,0.7499388943284413,6,Algebra,Prealgebra / Basic Algebra,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,False,True
MATHNET-021o,MATHNET-0bmd,0.747766517535759,7,Algebra,Prealgebra / Basic Algebra,3,Medium,Algebra | Number Theory,Divisibility / Factorization | Modular Arithmetic | Prealgebra / Basic Algebra,3,Medium,False,True
MATHNET-021o,MATHNET-0l5r,0.740797576206276,8,Algebra,Prealgebra / Basic Algebra,3,Medium,Algebra | Number Theory,Algebraic Expressions | Modular Arithmetic,3,Medium,False,True
MATHNET-021o,MATHNET-0dyz,0.7397787777782604,9,Algebra,Prealgebra / Basic Algebra,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-021o,MATHNET-0l1k,0.7308335307088399,10,Algebra,Prealgebra / Basic Algebra,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-03e9,MATHNET-00ny,0.9071446913915726,1,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,True,True
MATHNET-03e9,MATHNET-0212,0.8968276988248984,2,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-03e9,MATHNET-01u2,0.8937476300423765,3,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-03e9,MATHNET-0c66,0.8912641206343727,4,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,5,Very Hard,False,True
MATHNET-03e9,MATHNET-0eu5,0.8707546503678091,5,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-03e9,MATHNET-04ru,0.8692610382336527,6,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-03e9,MATHNET-03ln,0.8598352881171465,7,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization | Modular Arithmetic,5,Very Hard,False,True
MATHNET-03e9,MATHNET-05d6,0.8510971360110102,8,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-03e9,MATHNET-0dqz,0.8432162757188865,9,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization | Equations and Inequalities,5,Very Hard,False,True
MATHNET-03e9,MATHNET-0387,0.8411069329651416,10,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization,5,Very Hard,False,True
MATHNET-03nj,MATHNET-0h10,0.9027839122949638,1,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-00s2,0.8946891721297481,2,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-00f5,0.8477974463467297,3,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-03gy,0.8206057458154752,4,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-0cnn,0.8140552656241312,5,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-06x6,0.8121149911244618,6,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-0gle,0.7947927926292808,7,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-05aq,0.7853009077164642,8,Geometry,Plane Geometry,4,Hard,Algebra | Discrete Mathematics | Number Theory,Divisibility / Factorization | Other | Prealgebra / Basic Algebra,4,Hard,False,True
MATHNET-03nj,MATHNET-0lgk,0.783632520826806,9,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03nj,MATHNET-08o1,0.7806718823951524,10,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-03qq,MATHNET-08zz,0.9280241430659482,1,Discrete Mathematics,Combinatorics,5,Very Hard,Number Theory,Divisibility / Factorization | Modular Arithmetic | Number-Theoretic Functions,5,Very Hard,False,True
MATHNET-03qq,MATHNET-06si,0.9138008051777256,2,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics | Geometry | Number Theory,Combinatorics | Modular Arithmetic | Number-Theoretic Functions | Plane Geometry,5,Very Hard,False,True
MATHNET-03qq,MATHNET-00h0,0.9013276022269224,3,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics,Combinatorics | Graph Theory,5,Very Hard,True,True
MATHNET-03qq,MATHNET-06op,0.8942230101263273,4,Discrete Mathematics,Combinatorics,5,Very Hard,Algebra | Discrete Mathematics | Geometry,Graph Theory | Linear Algebra | Solid Geometry,5,Very Hard,False,True
MATHNET-03qq,MATHNET-090z,0.8776430365503625,5,Discrete Mathematics,Combinatorics,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-03qq,MATHNET-0i9x,0.8622801070482705,6,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,True,True
MATHNET-03qq,MATHNET-0eu5,0.8480333486773654,7,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,True,True
MATHNET-03qq,MATHNET-03ln,0.8409177575297953,8,Discrete Mathematics,Combinatorics,5,Very Hard,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization | Modular Arithmetic,5,Very Hard,False,True
MATHNET-03qq,MATHNET-077p,0.8396484850968203,9,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics | Number Theory,Algebraic Number Theory | Combinatorics | Divisibility / Factorization,5,Very Hard,False,True
MATHNET-03qq,MATHNET-077k,0.8357556122819882,10,Discrete Mathematics,Combinatorics,5,Very Hard,Algebra,Algebraic Expressions,5,Very Hard,False,True
MATHNET-04aq,MATHNET-0cwp,0.8460726311616572,1,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics | Geometry,Combinatorics | Solid Geometry,4,Hard,False,True
MATHNET-04aq,MATHNET-00ac,0.7892429389687279,2,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,False,False
MATHNET-04aq,MATHNET-0a2l,0.7811203319886406,3,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics,Combinatorics,4,Hard,True,True
MATHNET-04aq,MATHNET-099l,0.7801078198542785,4,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics,Combinatorics | Other,4,Hard,True,True
MATHNET-04aq,MATHNET-0cjq,0.7780102996132455,5,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics,Combinatorics,4,Hard,True,True
MATHNET-04aq,MATHNET-0d6e,0.764022773149924,6,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics | Number Theory,Divisibility / Factorization | Modular Arithmetic | Other,4,Hard,False,True
MATHNET-04aq,MATHNET-02h7,0.7601446626825201,7,Discrete Mathematics,Combinatorics,4,Hard,Geometry,Plane Geometry | Solid Geometry,4,Hard,False,True
MATHNET-04aq,MATHNET-03vm,0.7516603363101573,8,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,False,False
MATHNET-04aq,MATHNET-0jtz,0.7450585375085564,9,Discrete Mathematics,Combinatorics,4,Hard,Number Theory,Diophantine Equations | Modular Arithmetic,4,Hard,False,True
MATHNET-04aq,MATHNET-00hu,0.7435425520336494,10,Discrete Mathematics,Combinatorics,4,Hard,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,False,False
MATHNET-04u6,MATHNET-0bow,0.9000207356354661,1,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-04u6,MATHNET-0455,0.8620436637190971,2,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-04u6,MATHNET-06pl,0.8566244926100718,3,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-04u6,MATHNET-0217,0.8548102351896435,4,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-04u6,MATHNET-04t3,0.8088405255487011,5,Geometry,Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-04u6,MATHNET-0akr,0.8050010094638256,6,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-04u6,MATHNET-0dq2,0.7482562605388385,7,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,4,Hard,True,False
MATHNET-04u6,MATHNET-0lfz,0.7431818557303963,8,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,4,Hard,True,False
MATHNET-04u6,MATHNET-05dk,0.7384482984159533,9,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-04u6,MATHNET-0cy2,0.72622334511609,10,Geometry,Plane Geometry,5,Very Hard,Algebra | Geometry,Equations and Inequalities | Plane Geometry,4,Hard,False,False
MATHNET-04xa,MATHNET-0cu8,0.8014184630983124,1,Geometry,Plane Geometry,4,Hard,Algebra | Geometry,Algebraic Expressions | Intermediate Algebra | Plane Geometry,4,Hard,False,True
MATHNET-04xa,MATHNET-0677,0.776486509141951,2,Geometry,Plane Geometry,4,Hard,Number Theory,Diophantine Equations | Divisibility / Factorization,4,Hard,False,True
MATHNET-04xa,MATHNET-0ed9,0.7636118994044222,3,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-04xa,MATHNET-07n6,0.7599010447973068,4,Geometry,Plane Geometry,4,Hard,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,4,Hard,False,True
MATHNET-04xa,MATHNET-07cz,0.750193114070434,5,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-04xa,MATHNET-07cj,0.7415699844822715,6,Geometry,Plane Geometry,4,Hard,Algebra,Algebraic Expressions | Equations and Inequalities,4,Hard,False,True
MATHNET-04xa,MATHNET-0akk,0.7258664848316254,7,Geometry,Plane Geometry,4,Hard,Number Theory,Diophantine Equations | Divisibility / Factorization,4,Hard,False,True
MATHNET-04xa,MATHNET-017x,0.7234709613778529,8,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-04xa,MATHNET-06un,0.7210792883781553,9,Geometry,Plane Geometry,4,Hard,Number Theory,Diophantine Equations | Divisibility / Factorization | Modular Arithmetic | Residues and Primitive Roots,4,Hard,False,True
MATHNET-04xa,MATHNET-00a6,0.720681480171415,10,Geometry,Plane Geometry,4,Hard,Discrete Mathematics,Combinatorics,4,Hard,False,True
MATHNET-051m,MATHNET-08m2,0.8246997002160178,1,Geometry,Plane Geometry,4,Hard,Discrete Mathematics,Combinatorics | Graph Theory,4,Hard,False,True
MATHNET-051m,MATHNET-06pl,0.7742418789450396,2,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,5,Very Hard,True,False
MATHNET-051m,MATHNET-03xn,0.7661038082675472,3,Geometry,Plane Geometry,4,Hard,Algebra,Algebraic Expressions,4,Hard,False,True
MATHNET-051m,MATHNET-01b7,0.7640555604158664,4,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-051m,MATHNET-0lfz,0.7615172618408346,5,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-051m,MATHNET-06ts,0.7598122227038472,6,Geometry,Plane Geometry,4,Hard,Discrete Mathematics,Combinatorics,4,Hard,False,True
MATHNET-051m,MATHNET-0dq2,0.7426144895523172,7,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-051m,MATHNET-04t3,0.7417983683440191,8,Geometry,Plane Geometry,4,Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,False
MATHNET-051m,MATHNET-0cwk,0.7388480552140175,9,Geometry,Plane Geometry,4,Hard,Algebra,Algebraic Expressions,4,Hard,False,True
MATHNET-051m,MATHNET-0bow,0.7287280991036665,10,Geometry,Plane Geometry,4,Hard,Geometry,Plane Geometry,5,Very Hard,True,False
MATHNET-05dg,MATHNET-0cm5,0.9166684997473415,1,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-05dg,MATHNET-0ing,0.8711387495473505,2,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-05dg,MATHNET-04vh,0.8579049158389521,3,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-05dg,MATHNET-0dxz,0.8428427052573131,4,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
MATHNET-05dg,MATHNET-0bhh,0.8240199418326136,5,Geometry,Plane Geometry,5,Very Hard,Algebra,Linear Algebra,5,Very Hard,False,True
MATHNET-05dg,MATHNET-04v9,0.8104156399698199,6,Geometry,Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,True,True
