length_score,equation_score,reasoning_score,proof_score,case_score,steps_score,problem_type_score,domain_score,actual_difficulty,predicted_difficulty,absolute_error,problem_id,domain,problem_type,difficulty_label,error
94.8,94.8,98.85,92.65,95.15,62.5,90,78.0,91.0125,91.26218749999994,0.24968749999993634,MATHNET-04xs,Discrete Mathematics,proof and answer,Very Hard,0.24968749999993634
63.24999999999999,65.0,62.2,74.4,69.95,77.35,90,75.0,68.98,69.31573750000003,0.3357375000000218,MATHNET-056b,Geometry,proof and answer,Very Hard,0.3357375000000218
32.9,47.2,80.25,34.2,69.95,87.5,90,78.0,58.98500000000001,53.78413333333325,5.200866666666755,MATHNET-05dk,Geometry,proof only,Very Hard,-5.200866666666755
61.8,63.65,80.25,34.2,32.800000000000004,77.35,35,78.0,59.7525,60.75206250000001,0.9995625000000103,MATHNET-05uf,Discrete Mathematics | Geometry,proof and answer,Very Hard,0.9995625000000103
20.6,40.2,62.2,74.4,69.95,19.85,90,77.5,51.105,50.19845000000007,0.9065499999999247,MATHNET-062m,Discrete Mathematics,proof and answer,Medium,-0.9065499999999247
40.1,40.2,72.6,34.2,32.800000000000004,19.85,100,78.0,47.865,48.62555000000003,0.7605500000000305,MATHNET-065e,Geometry,proof and answer,Hard,0.7605500000000305
58.1,13.1,80.25,34.2,32.800000000000004,62.5,90,78.0,52.695,57.069570833333344,4.374570833333344,MATHNET-06ke,Geometry,proof only,Very Hard,4.374570833333344
74.5,83.6,88.35,34.2,32.800000000000004,81.75,100,78.0,70.59500000000001,69.75641250000014,0.8385874999998748,MATHNET-06si,Discrete Mathematics | Geometry | Number Theory,proof and answer,Very Hard,-0.8385874999998748
99.5,99.6,99.8,99.05,98.55,96.55,90,80.0,97.6675,97.07124166666686,0.5962583333331395,MATHNET-06ze,Geometry,proof and answer,Hard,-0.5962583333331395
48.05,60.35,62.2,34.2,32.800000000000004,62.5,90,75.0,54.0125,56.11275000000003,2.100250000000024,MATHNET-0759,Discrete Mathematics | Geometry,proof only,Hard,2.100250000000024
68.05,69.6,19.7,34.2,32.800000000000004,51.45,100,80.0,50.545,52.85156249999992,2.30656249999992,MATHNET-07cz,Geometry,proof only,Hard,2.30656249999992
71.8,42.8,47.8,83.85000000000001,95.15,87.5,90,82.0,69.7825,70.30605000000006,0.523550000000057,MATHNET-07uh,Geometry,proof only,Very Hard,0.523550000000057
75.5,82.75,90.4,34.2,32.800000000000004,36.65,100,78.0,66.56750000000001,69.17271250000007,2.6052125000000643,MATHNET-081p,Geometry,proof and answer,Medium,2.6052125000000643
97.8,97.25,98.0,83.85000000000001,32.800000000000004,89.64999999999999,100,78.0,87.47000000000001,90.06635833333324,2.596358333333228,MATHNET-08n2,Geometry,proof only,Hard,2.596358333333228
51.65,68.4,72.6,34.2,32.800000000000004,84.7,90,78.0,60.39,61.2059,0.8158999999999992,MATHNET-08tg,Geometry,proof and answer,Hard,0.8158999999999992
25.05,6.4,19.7,34.2,32.800000000000004,36.65,100,80.0,30.985,32.02305000000003,1.038050000000034,MATHNET-0932,Discrete Mathematics,proof and answer,Very Hard,1.038050000000034
14.35,15.25,47.8,34.2,32.800000000000004,19.85,35,45.0,29.1125,32.53823749999998,3.425737499999979,MATHNET-0955,Algebra | Geometry,proof and answer,Medium,3.425737499999979
22.8,29.0,19.7,34.2,32.800000000000004,36.65,35,75.0,30.425,31.965737499999943,1.540737499999942,MATHNET-099l,Discrete Mathematics,proof and answer,Hard,1.540737499999942
15.7,16.25,19.7,34.2,32.800000000000004,36.65,35,75.0,27.0925,28.502087500000027,1.4095875000000255,MATHNET-09wj,Discrete Mathematics,final answer only,Easy,1.4095875000000255
96.0,76.25,92.25,34.2,91.65,98.05,90,80.0,81.6875,76.40097500000014,5.286524999999855,MATHNET-0a53,Geometry,proof only,Hard,-5.286524999999855
65.2,52.45,19.7,34.2,32.800000000000004,87.5,90,80.0,50.5075,50.319824999999966,0.18767500000003423,MATHNET-0a9f,Geometry,proof only,Hard,-0.18767500000003423
41.6,49.0,62.2,34.2,69.95,19.85,100,75.0,50.97,52.63204999999993,1.6620499999999296,MATHNET-0agx,Algebra | Discrete Mathematics | Geometry,proof and answer,Hard,1.6620499999999296
16.400000000000002,13.1,19.7,34.2,32.800000000000004,36.65,35,78.0,26.910000000000004,28.826237500000016,1.9162375000000118,MATHNET-0avj,Geometry,proof only,Hard,1.9162375000000118
48.05,40.2,47.8,34.2,32.800000000000004,36.65,90,82.0,45.875,43.64537499999999,2.229625000000013,MATHNET-0bow,Geometry,proof only,Very Hard,-2.229625000000013
74.3,79.05,47.8,83.85000000000001,91.65,19.85,90,77.5,68.38,73.57465416666669,5.1946541666666946,MATHNET-0clz,Geometry,proof only,Hard,5.1946541666666946
66.2,80.85,62.2,83.85000000000001,32.800000000000004,84.7,90,75.0,70.385,73.28818750000005,2.903187500000044,MATHNET-0cr9,Geometry,proof only,Medium,2.903187500000044
69.5,77.64999999999999,93.75,34.2,32.800000000000004,36.65,100,78.0,65.27250000000001,65.5348625,0.2623624999999947,MATHNET-0d4q,Discrete Mathematics,proof and answer,Hard,0.2623624999999947
11.7,6.4,19.7,34.2,32.800000000000004,19.85,55,82.0,24.485000000000003,24.95873750000003,0.473737500000027,MATHNET-0dmc,Geometry,proof only,Hard,0.473737500000027
94.9,96.4,99.25,89.25,85.45,95.3,100,78.0,93.6525,92.01141249999988,1.6410875000001255,MATHNET-0dpx,Geometry,proof only,Hard,-1.6410875000001255
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,35,75.0,20.565,20.63900000000004,0.07400000000003715,MATHNET-0dst,Geometry,proof and answer,Very Hard,0.07400000000003715
35.3,42.8,47.8,74.4,32.800000000000004,36.65,90,78.0,49.545,49.29337083333342,0.2516291666665822,MATHNET-0dzm,Geometry,proof and answer,Hard,-0.2516291666665822
51.24999999999999,57.15,47.8,83.85000000000001,85.45,77.35,90,80.0,65.74000000000001,61.28093749999996,4.459062500000051,MATHNET-0etj,Geometry,proof only,Hard,-4.459062500000051
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,35,78.0,20.715000000000003,20.79362500000004,0.07862500000003791,MATHNET-0fad,Geometry,proof and answer,Medium,0.07862500000003791
72.7,76.25,62.2,89.25,89.35,62.5,100,77.5,75.86500000000001,75.27745833333336,0.5875416666666524,MATHNET-0fjo,Geometry,proof only,Medium,-0.5875416666666524
52.5,77.64999999999999,72.6,34.2,78.8,62.5,100,78.0,64.82750000000001,63.22944999999998,1.5980500000000362,MATHNET-0fvm,Discrete Mathematics,proof and answer,Medium,-1.5980500000000362
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,100,78.0,23.965000000000003,23.965000000000067,6.394884621840902e-14,MATHNET-0g9d,Geometry,proof only,Medium,6.394884621840902e-14
57.65,67.25,62.2,83.85000000000001,95.15,62.5,90,82.0,71.0,67.69820000000009,3.301799999999915,MATHNET-0gle,Geometry,proof only,Hard,-3.301799999999915
37.3,70.45,62.2,34.2,32.800000000000004,62.5,100,78.0,54.0275,55.369287499999984,1.341787499999981,MATHNET-0gq8,Geometry,proof and answer,Very Hard,1.341787499999981
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,100,75.0,23.815,23.814999999999984,1.7763568394002505e-14,MATHNET-0h61,Geometry,proof only,Very Hard,-1.7763568394002505e-14
59.8,33.4,19.7,34.2,32.800000000000004,77.35,100,77.5,45.93,46.51327500000003,0.5832750000000289,MATHNET-0k0l,Algebra | Discrete Mathematics | Geometry,proof and answer,Hard,0.5832750000000289
34.8,35.55,72.6,34.2,32.800000000000004,62.5,100,78.0,50.3725,51.60468749999996,1.2321874999999594,MATHNET-0lco,Discrete Mathematics | Geometry,proof and answer,Hard,1.2321874999999594
18.5,31.45,19.7,34.2,32.800000000000004,36.65,100,78.0,33.3325,33.85537500000007,0.5228750000000701,MATHNET-0lfz,Geometry,proof only,Hard,0.5228750000000701
35.15,45.25,88.35,34.2,32.800000000000004,51.45,100,78.0,53.9425,50.85315000000002,3.089349999999982,MATHNET-00ba,Discrete Mathematics | Geometry,proof and answer,Hard,-3.089349999999982
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,100,78.0,23.965000000000003,23.965000000000067,6.394884621840902e-14,MATHNET-00hu,Discrete Mathematics | Geometry,proof only,Very Hard,6.394884621840902e-14
88.9,76.95,19.7,34.2,32.800000000000004,71.0,90,76.5,57.09750000000001,57.83122500000008,0.7337250000000708,MATHNET-00lt,Geometry,proof only,Hard,0.7337250000000708
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,90,80.0,23.565,23.56449999999999,0.0005000000000130456,MATHNET-00vm,Geometry,proof and answer,Very Hard,-0.0005000000000130456
53.45,74.45,19.7,74.4,32.800000000000004,77.35,100,80.0,56.9725,58.02665000000004,1.0541500000000426,MATHNET-010r,Geometry,proof only,Hard,1.0541500000000426
98.9,99.2,97.45,99.75,99.1,62.5,90,75.0,93.5225,96.41224583333344,2.88974583333345,MATHNET-01u3,Discrete Mathematics,proof and answer,Very Hard,2.88974583333345
79.2,87.25,19.7,34.2,32.800000000000004,62.5,90,81.0,56.0775,57.24012499999994,1.1626249999999416,MATHNET-0212,Discrete Mathematics,proof and answer,Very Hard,1.1626249999999416
28.8,40.2,72.6,34.2,78.8,51.45,90,75.0,52.715,51.2557125,1.459287500000002,MATHNET-024e,Algebra,final answer only,Easy,-1.459287500000002
43.6,58.85,19.7,34.2,32.800000000000004,19.85,90,78.5,40.3075,42.2297125000001,1.9222125000001,MATHNET-0caz,Algebra,proof only,Easy,1.9222125000001
67.80000000000001,70.45,85.45,92.65,89.35,51.45,90,75.0,77.445,74.51886250000007,2.926137499999925,MATHNET-07vc,Algebra | Geometry,proof and answer,Medium,-2.926137499999925
18.7,22.55,47.8,74.4,78.8,19.85,100,75.0,46.4575,44.36058750000001,2.096912499999995,MATHNET-0awa,Precalculus,final answer only,Easy,-2.096912499999995
66.10000000000001,70.45,62.2,74.4,78.8,19.85,100,77.5,66.1275,69.45751249999998,3.330012499999981,MATHNET-0609,Number Theory,proof only,Medium,3.330012499999981
88.2,90.0,72.6,92.65,69.95,51.45,90,77.5,80.07249999999999,82.13230000000013,2.0598000000001377,MATHNET-05gq,Geometry,proof only,Easy,2.0598000000001377
66.75,65.0,47.8,89.25,78.8,51.45,90,80.0,67.5725,69.07109166666667,1.4985916666666697,MATHNET-0kq5,Geometry,final answer only,Easy,1.4985916666666697
67.60000000000001,76.25,62.2,34.2,32.800000000000004,96.55,90,80.0,63.96250000000001,62.06605833333333,1.8964416666666821,MATHNET-074g,Algebra,proof only,Hard,-1.8964416666666821
70.89999999999999,68.4,62.2,34.2,78.8,36.65,90,77.5,61.93,61.34403750000001,0.5859624999999866,MATHNET-0413,Geometry,proof only,Medium,-0.5859624999999866
23.8,26.9,85.45,34.2,32.800000000000004,19.85,90,75.0,44.53,43.28321250000001,1.2467874999999893,MATHNET-0dgx,Geometry,proof only,Easy,-1.2467874999999893
30.1,40.2,47.8,34.2,32.800000000000004,62.5,90,80.0,44.77,42.78431666666668,1.98568333333332,MATHNET-0hpb,Algebra | Number Theory,proof only,Easy,-1.98568333333332
31.4,35.55,62.2,34.2,69.95,62.5,90,81.0,50.9775,51.33526249999993,0.3577624999999287,MATHNET-0beo,Algebra,proof only,Easy,0.3577624999999287
17.8,22.55,19.7,34.2,32.800000000000004,36.65,90,55.0,30.2075,31.433062500000005,1.2255625000000059,MATHNET-0cih,Number Theory,proof only,Easy,1.2255625000000059
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,90,75.0,23.315,23.31499999999999,1.0658141036401503e-14,MATHNET-0bmx,Number Theory,proof and answer,Medium,-1.0658141036401503e-14
95.5,97.1,80.25,94.9,93.3,95.3,100,77.5,91.685,89.06316249999998,2.6218375000000265,MATHNET-067b,Algebra,proof and answer,Easy,-2.6218375000000265
15.4,17.25,19.7,74.4,32.800000000000004,36.65,90,82.0,36.3125,35.08265000000006,1.2298499999999422,MATHNET-00g4,Algebra,proof and answer,Medium,-1.2298499999999422
57.99999999999999,29.0,72.6,92.65,32.800000000000004,36.65,90,82.0,59.9125,60.95268750000004,1.0401875000000373,MATHNET-0f88,Geometry,proof only,Easy,1.0401875000000373
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,100,75.0,23.815,23.814999999999984,1.7763568394002505e-14,MATHNET-0akb,Algebra | Geometry,proof and answer,Hard,-1.7763568394002505e-14
80.60000000000001,89.5,90.4,83.85000000000001,91.65,36.65,90,75.0,81.28250000000001,83.7868,2.5042999999999864,MATHNET-0ijk,Algebra,proof and answer,Hard,2.5042999999999864
94.7,97.5,19.7,34.2,32.800000000000004,93.6,90,78.0,63.675,62.91647500000021,0.7585249999997856,MATHNET-0cvb,Discrete Mathematics,proof and answer,Medium,-0.7585249999997856
99.6,99.9,99.9,94.9,32.800000000000004,98.05,100,78.0,91.10500000000002,94.00907916666652,2.904079166666506,MATHNET-0lf7,Geometry,proof only,Very Hard,2.904079166666506
98.3,97.95,93.75,74.4,69.95,89.64999999999999,100,78.0,89.12250000000002,92.27981666666656,3.1573166666665458,MATHNET-00nu,Algebra | Discrete Mathematics,proof and answer,Medium,3.1573166666665458
64.45,67.25,47.8,83.85000000000001,32.800000000000004,36.65,90,79.0,60.510000000000005,65.10245000000002,4.592450000000014,MATHNET-084f,Geometry,final answer only,Easy,4.592450000000014
46.55,58.85,19.7,34.2,32.800000000000004,71.0,55,78.0,44.2375,44.731862500000034,0.4943625000000367,MATHNET-0325,Algebra,proof and answer,Hard,0.4943625000000367
43.75,58.85,19.7,74.4,32.800000000000004,51.45,90,75.0,49.352500000000006,47.77973749999999,1.5727625000000174,MATHNET-0cu8,Algebra | Geometry,proof only,Hard,-1.5727625000000174
61.2,68.4,19.7,34.2,32.800000000000004,62.5,90,79.0,49.55,52.18058749999996,2.6305874999999617,MATHNET-0gan,Algebra | Number Theory,proof and answer,Medium,2.6305874999999617
42.55,31.45,47.8,34.2,32.800000000000004,36.65,35,75.0,40.3625,40.33851249999997,0.023987500000025364,MATHNET-0ekm,Algebra,MCQ,Easy,-0.023987500000025364
66.9,66.14999999999999,19.7,74.4,78.8,36.65,90,78.0,58.3475,62.2832791666668,3.935779166666805,MATHNET-058t,Geometry,proof only,Medium,3.935779166666805
29.1,40.2,62.2,34.2,32.800000000000004,19.85,90,80.0,43.185,45.27102500000003,2.0860250000000278,MATHNET-08of,Number Theory,proof and answer,Medium,2.0860250000000278
