problem_id,similar_problem_id,similarity_score
MATHNET-007a,MATHNET-0azg | MATHNET-00md | MATHNET-0ibi | MATHNET-064u | MATHNET-09hf | MATHNET-03di | MATHNET-0inz | MATHNET-0bot | MATHNET-0bxl | MATHNET-08kv,0.8654 | 0.8462 | 0.8263 | 0.8152 | 0.8125 | 0.8088 | 0.8040 | 0.8038 | 0.8023 | 0.7977
MATHNET-007d,MATHNET-0drf | MATHNET-0htx | MATHNET-037b | MATHNET-0blq | MATHNET-0h2a | MATHNET-08yd | MATHNET-032t | MATHNET-00yo | MATHNET-0e06 | MATHNET-0a95,0.8778 | 0.8393 | 0.8175 | 0.8013 | 0.7989 | 0.7961 | 0.7801 | 0.7800 | 0.7731 | 0.7719
MATHNET-008t,MATHNET-0041 | MATHNET-004m | MATHNET-0c9x | MATHNET-08ic | MATHNET-04dz | MATHNET-0atn | MATHNET-00cj | MATHNET-0bqa | MATHNET-049x | MATHNET-0c4k,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-009e,MATHNET-000s | MATHNET-02n9 | MATHNET-04up | MATHNET-0c1k | MATHNET-04hy | MATHNET-09jj | MATHNET-0djw | MATHNET-0698 | MATHNET-0f78 | MATHNET-0dd1,1.0000 | 1.0000 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737
MATHNET-009s,MATHNET-0czk | MATHNET-0j9k | MATHNET-0jnd | MATHNET-07uh | MATHNET-04vh | MATHNET-0ax4 | MATHNET-056b | MATHNET-0jtz | MATHNET-02eg | MATHNET-06nj,0.8231 | 0.7936 | 0.7786 | 0.7657 | 0.7508 | 0.7496 | 0.7490 | 0.7438 | 0.7425 | 0.7414
MATHNET-00a6,MATHNET-0677 | MATHNET-07n6 | MATHNET-0iyz | MATHNET-071o | MATHNET-0325 | MATHNET-0je9 | MATHNET-0kto | MATHNET-04xa | MATHNET-0bd7 | MATHNET-0akk,0.8562 | 0.8147 | 0.7886 | 0.7819 | 0.7499 | 0.7363 | 0.7276 | 0.7207 | 0.7179 | 0.7108
MATHNET-00ac,MATHNET-020t | MATHNET-077h | MATHNET-0a2l | MATHNET-0ijk | MATHNET-0jtz | MATHNET-08pi | MATHNET-07d3 | MATHNET-00hu | MATHNET-04aq | MATHNET-05bk,0.8253 | 0.8117 | 0.8039 | 0.8031 | 0.8030 | 0.8021 | 0.7997 | 0.7925 | 0.7892 | 0.7865
MATHNET-00ba,MATHNET-0jt8 | MATHNET-0bvn | MATHNET-02h7 | MATHNET-01bj | MATHNET-0d7c | MATHNET-03t6 | MATHNET-0jcv | MATHNET-0cwp | MATHNET-0gdx | MATHNET-0cjq,0.7551 | 0.7326 | 0.7084 | 0.7053 | 0.7001 | 0.6953 | 0.6937 | 0.6792 | 0.6753 | 0.6682
MATHNET-00by,MATHNET-065e | MATHNET-0k4h | MATHNET-0j4z | MATHNET-0a9f | MATHNET-0avj | MATHNET-0agx | MATHNET-0d1o | MATHNET-0a53 | MATHNET-0bq8 | MATHNET-06nq,0.8858 | 0.8614 | 0.8494 | 0.8385 | 0.8313 | 0.8238 | 0.8194 | 0.8166 | 0.8078 | 0.7930
MATHNET-00cj,MATHNET-0041 | MATHNET-004m | MATHNET-08ic | MATHNET-0c9x | MATHNET-049x | MATHNET-0atn | MATHNET-008t | MATHNET-0c4k | MATHNET-04dz | MATHNET-0bqa,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-00cu,MATHNET-0ebi | MATHNET-0g60 | MATHNET-00cv | MATHNET-0g57 | MATHNET-0fhq | MATHNET-0cmw | MATHNET-023t | MATHNET-0gbv | MATHNET-05qu | MATHNET-05f6,0.9749 | 0.8438 | 0.8385 | 0.8261 | 0.8189 | 0.8136 | 0.8101 | 0.8080 | 0.7980 | 0.7972
MATHNET-00cv,MATHNET-023t | MATHNET-0ebi | MATHNET-00cu | MATHNET-028y | MATHNET-0efx | MATHNET-067b | MATHNET-0fj3 | MATHNET-0bnb | MATHNET-06zj | MATHNET-0ads,0.9038 | 0.8426 | 0.8385 | 0.8379 | 0.8312 | 0.8169 | 0.8153 | 0.8079 | 0.8021 | 0.8021
MATHNET-00et,MATHNET-0gqz | MATHNET-0ggp | MATHNET-08pm | MATHNET-00va | MATHNET-0cg1 | MATHNET-0acz | MATHNET-0a7h | MATHNET-00f0 | MATHNET-0lbc | MATHNET-0e73,0.7824 | 0.7795 | 0.7665 | 0.7581 | 0.7561 | 0.7463 | 0.7171 | 0.7072 | 0.7021 | 0.6989
MATHNET-00f0,MATHNET-0lbc | MATHNET-01f7 | MATHNET-06bz | MATHNET-0ai8 | MATHNET-072g | MATHNET-00va | MATHNET-08pm | MATHNET-00ul | MATHNET-0a7h | MATHNET-0acz,0.8866 | 0.7733 | 0.7616 | 0.7502 | 0.7494 | 0.7469 | 0.7405 | 0.7278 | 0.7195 | 0.7192
MATHNET-00f5,MATHNET-03nj | MATHNET-0h10 | MATHNET-00s2 | MATHNET-0gle | MATHNET-06x6 | MATHNET-0dzm | MATHNET-0cnn | MATHNET-0lgk | MATHNET-0d0v | MATHNET-0au7,0.8478 | 0.8407 | 0.8029 | 0.8025 | 0.7928 | 0.7820 | 0.7763 | 0.7738 | 0.7733 | 0.7726
MATHNET-00fc,MATHNET-0b2t | MATHNET-0j6t | MATHNET-07xw | MATHNET-06jk | MATHNET-01ug | MATHNET-0cww | MATHNET-0ck8 | MATHNET-09ad | MATHNET-07nh | MATHNET-0akk,0.8205 | 0.7859 | 0.7766 | 0.7760 | 0.7654 | 0.7640 | 0.7594 | 0.7556 | 0.7549 | 0.7507
MATHNET-00g4,MATHNET-0kto | MATHNET-0e0d | MATHNET-07du | MATHNET-0e06 | MATHNET-00qi | MATHNET-0bd7 | MATHNET-0325 | MATHNET-0iyz | MATHNET-07n6 | MATHNET-07n4,0.8768 | 0.8096 | 0.7722 | 0.7685 | 0.7656 | 0.7561 | 0.7396 | 0.7338 | 0.7325 | 0.7324
MATHNET-00h0,MATHNET-03qq | MATHNET-08zz | MATHNET-0eu5 | MATHNET-06si | MATHNET-090z | MATHNET-05d6 | MATHNET-06op | MATHNET-03ln | MATHNET-0i9x | MATHNET-077p,0.9013 | 0.8874 | 0.8837 | 0.8830 | 0.8748 | 0.8715 | 0.8626 | 0.8582 | 0.8521 | 0.8481
MATHNET-00hu,MATHNET-03n8 | MATHNET-00ac | MATHNET-08pi | MATHNET-07d3 | MATHNET-0lf7 | MATHNET-077h | MATHNET-0cwp | MATHNET-05bk | MATHNET-0387 | MATHNET-0bth,0.8047 | 0.7925 | 0.7870 | 0.7788 | 0.7759 | 0.7756 | 0.7657 | 0.7595 | 0.7595 | 0.7573
MATHNET-00hy,MATHNET-0dps | MATHNET-077p | MATHNET-06xj | MATHNET-0jgz | MATHNET-0bzc | MATHNET-0i9x | MATHNET-045v | MATHNET-06ke | MATHNET-090m | MATHNET-0479,0.9197 | 0.9014 | 0.8980 | 0.8778 | 0.8751 | 0.8692 | 0.8550 | 0.8501 | 0.8467 | 0.8376
MATHNET-00jk,MATHNET-041i | MATHNET-07w7 | MATHNET-0457 | MATHNET-0hs2 | MATHNET-0ksl | MATHNET-06fc | MATHNET-07ko | MATHNET-0l9s | MATHNET-0b84 | MATHNET-0i9p,0.8357 | 0.8065 | 0.7655 | 0.7255 | 0.7223 | 0.7124 | 0.6911 | 0.6907 | 0.6890 | 0.6863
MATHNET-00k4,MATHNET-0dil | MATHNET-0925 | MATHNET-0157 | MATHNET-03w7 | MATHNET-0dyh | MATHNET-0kqa | MATHNET-08o1 | MATHNET-06nq | MATHNET-0hdo | MATHNET-01el,0.8726 | 0.8442 | 0.8418 | 0.8318 | 0.8314 | 0.8269 | 0.8177 | 0.8113 | 0.8057 | 0.8044
MATHNET-00kp,MATHNET-0h27 | MATHNET-0adb | MATHNET-02f2 | MATHNET-0gtj | MATHNET-0jw5 | MATHNET-0fev | MATHNET-0ikl | MATHNET-0h46 | MATHNET-0irf | MATHNET-01qj,0.9238 | 0.9056 | 0.8906 | 0.8879 | 0.8685 | 0.8647 | 0.8509 | 0.8473 | 0.8449 | 0.8424
MATHNET-00l0,MATHNET-04yy | MATHNET-0b7y | MATHNET-07n4 | MATHNET-00yo | MATHNET-0blq | MATHNET-038o | MATHNET-04ra | MATHNET-0e06 | MATHNET-0htx | MATHNET-007d,0.8284 | 0.8257 | 0.8085 | 0.8063 | 0.7981 | 0.7895 | 0.7724 | 0.7709 | 0.7599 | 0.7491
MATHNET-00lt,MATHNET-05jg | MATHNET-0dmc | MATHNET-0fg1 | MATHNET-05yo | MATHNET-0fnb | MATHNET-05qn | MATHNET-0fxv | MATHNET-060t | MATHNET-09t7 | MATHNET-0855,0.9408 | 0.9105 | 0.9041 | 0.9029 | 0.9004 | 0.8795 | 0.8750 | 0.8610 | 0.8561 | 0.8463
MATHNET-00md,MATHNET-0inz | MATHNET-0ibi | MATHNET-007a | MATHNET-03di | MATHNET-07vc | MATHNET-07r9 | MATHNET-08kv | MATHNET-0azg | MATHNET-0jp5 | MATHNET-08y6,0.8534 | 0.8489 | 0.8462 | 0.8418 | 0.8413 | 0.8408 | 0.8355 | 0.8311 | 0.8147 | 0.8116
MATHNET-00mi,MATHNET-0a4k | MATHNET-0jzx | MATHNET-0b1m | MATHNET-0hhz | MATHNET-0ibu | MATHNET-0krr | MATHNET-0l0n | MATHNET-0hvc | MATHNET-0j50 | MATHNET-0e08,0.9041 | 0.8798 | 0.8719 | 0.8586 | 0.8518 | 0.8502 | 0.8427 | 0.8426 | 0.8385 | 0.8342
MATHNET-00nb,MATHNET-0jgr | MATHNET-04a3 | MATHNET-0j3m | MATHNET-06ze | MATHNET-0le9 | MATHNET-01kt | MATHNET-017c | MATHNET-0bx8 | MATHNET-0752 | MATHNET-0397,0.8374 | 0.7813 | 0.7806 | 0.7686 | 0.7661 | 0.7608 | 0.7587 | 0.7570 | 0.7564 | 0.7478
MATHNET-00nm,MATHNET-07gp | MATHNET-08nc | MATHNET-06fc | MATHNET-0b84 | MATHNET-0jxp | MATHNET-0f9k | MATHNET-0le8 | MATHNET-0553 | MATHNET-0i9p | MATHNET-08tg,0.8200 | 0.7743 | 0.7593 | 0.7174 | 0.7098 | 0.7016 | 0.6938 | 0.6934 | 0.6878 | 0.6869
MATHNET-00nu,MATHNET-00p6 | MATHNET-0j50 | MATHNET-0hc1 | MATHNET-06ct | MATHNET-03zv | MATHNET-0gyd | MATHNET-064u | MATHNET-0hxe | MATHNET-0jx0 | MATHNET-09iq,0.8693 | 0.8679 | 0.8630 | 0.8581 | 0.8570 | 0.8505 | 0.8383 | 0.8373 | 0.8289 | 0.8284
MATHNET-00ny,MATHNET-03e9 | MATHNET-0212 | MATHNET-04ru | MATHNET-01u2 | MATHNET-0c66 | MATHNET-0dqz | MATHNET-03ln | MATHNET-0eu5 | MATHNET-0iic | MATHNET-0dps,0.9071 | 0.8965 | 0.8888 | 0.8659 | 0.8658 | 0.8331 | 0.8315 | 0.8225 | 0.8211 | 0.8202
MATHNET-00ok,MATHNET-01ug | MATHNET-0kf4 | MATHNET-0jh7 | MATHNET-07du | MATHNET-071o | MATHNET-0j6t | MATHNET-032t | MATHNET-08yd | MATHNET-09ad | MATHNET-0b2t,0.8054 | 0.7988 | 0.7828 | 0.7761 | 0.7696 | 0.7659 | 0.7530 | 0.7515 | 0.7484 | 0.7470
MATHNET-00p6,MATHNET-0hc1 | MATHNET-03zv | MATHNET-0j50 | MATHNET-00nu | MATHNET-0kpx | MATHNET-03di | MATHNET-0l0n | MATHNET-0hhz | MATHNET-0ibu | MATHNET-064u,0.9755 | 0.9175 | 0.8757 | 0.8693 | 0.8411 | 0.8379 | 0.8278 | 0.8263 | 0.8251 | 0.8133
MATHNET-00ps,MATHNET-0iic | MATHNET-04qz | MATHNET-0eu5 | MATHNET-0inh | MATHNET-03ln | MATHNET-0c66 | MATHNET-0dqz | MATHNET-00vm | MATHNET-01b8 | MATHNET-0jog,0.8373 | 0.8274 | 0.8193 | 0.8179 | 0.8086 | 0.8058 | 0.8025 | 0.8024 | 0.8016 | 0.8001
MATHNET-00qi,MATHNET-0kto | MATHNET-0bd7 | MATHNET-00g4 | MATHNET-0e0d | MATHNET-07gg | MATHNET-0c8t | MATHNET-0cgo | MATHNET-08io | MATHNET-0ilv | MATHNET-07n6,0.8024 | 0.7703 | 0.7656 | 0.7486 | 0.7342 | 0.7296 | 0.7271 | 0.6959 | 0.6938 | 0.6915
MATHNET-00rl,MATHNET-01b9 | MATHNET-04qz | MATHNET-0jog | MATHNET-08y2 | MATHNET-047k | MATHNET-07x2 | MATHNET-04x6 | MATHNET-07gw | MATHNET-0iic | MATHNET-09xc,0.8790 | 0.8415 | 0.8227 | 0.8154 | 0.8076 | 0.8036 | 0.7975 | 0.7957 | 0.7941 | 0.7936
MATHNET-00s2,MATHNET-0h10 | MATHNET-03nj | MATHNET-05aq | MATHNET-00f5 | MATHNET-03gy | MATHNET-0cnn | MATHNET-0lgk | MATHNET-06x6 | MATHNET-0etj | MATHNET-0dyh,0.9354 | 0.8947 | 0.8030 | 0.8029 | 0.7995 | 0.7753 | 0.7682 | 0.7635 | 0.7571 | 0.7563
MATHNET-00ug,MATHNET-078n | MATHNET-032t | MATHNET-0a95 | MATHNET-0hjb | MATHNET-037b | MATHNET-0dla | MATHNET-03us | MATHNET-0h2a | MATHNET-0b2t | MATHNET-038o,0.8779 | 0.8652 | 0.8436 | 0.8172 | 0.8131 | 0.8105 | 0.7916 | 0.7897 | 0.7730 | 0.7720
MATHNET-00ul,MATHNET-0397 | MATHNET-01dv | MATHNET-0ai8 | MATHNET-0j3m | MATHNET-01f7 | MATHNET-06dp | MATHNET-072g | MATHNET-06ze | MATHNET-0hs4 | MATHNET-0f8b,0.8262 | 0.8218 | 0.8211 | 0.8047 | 0.7935 | 0.7900 | 0.7860 | 0.7768 | 0.7759 | 0.7704
MATHNET-00up,MATHNET-07l8 | MATHNET-01b7 | MATHNET-0dq2 | MATHNET-04t3 | MATHNET-0lfz | MATHNET-06ts | MATHNET-0cy2 | MATHNET-0901 | MATHNET-03n2 | MATHNET-06pl,0.8204 | 0.8192 | 0.8040 | 0.7817 | 0.7670 | 0.7624 | 0.7602 | 0.7568 | 0.7498 | 0.7436
MATHNET-00va,MATHNET-00et | MATHNET-06bz | MATHNET-0gqz | MATHNET-00f0 | MATHNET-0lbc | MATHNET-0a7h | MATHNET-0cg1 | MATHNET-08pm | MATHNET-0acz | MATHNET-03t6,0.7581 | 0.7577 | 0.7485 | 0.7469 | 0.7351 | 0.7336 | 0.7089 | 0.7065 | 0.7023 | 0.7005
MATHNET-00vm,MATHNET-04qz | MATHNET-0dqz | MATHNET-01zv | MATHNET-0eud | MATHNET-038c | MATHNET-09xc | MATHNET-00ps | MATHNET-07x2 | MATHNET-01b9 | MATHNET-07dr,0.8209 | 0.8151 | 0.8065 | 0.8060 | 0.8053 | 0.8030 | 0.8024 | 0.7973 | 0.7880 | 0.7851
MATHNET-00xp,MATHNET-0f3f | MATHNET-0b84 | MATHNET-06j5 | MATHNET-0jxp | MATHNET-0j0k | MATHNET-0553 | MATHNET-0hs2 | MATHNET-0f9k | MATHNET-07gp | MATHNET-0dqf,0.8181 | 0.7854 | 0.7762 | 0.7756 | 0.7465 | 0.7321 | 0.7115 | 0.7114 | 0.7087 | 0.7040
MATHNET-00yo,MATHNET-0e06 | MATHNET-0blq | MATHNET-00l0 | MATHNET-04yy | MATHNET-007d | MATHNET-0b7y | MATHNET-074g | MATHNET-07n4 | MATHNET-0drf | MATHNET-0325,0.8252 | 0.8068 | 0.8063 | 0.8004 | 0.7800 | 0.7775 | 0.7749 | 0.7722 | 0.7605 | 0.7581
MATHNET-0103,MATHNET-0i5w | MATHNET-0fad | MATHNET-06nl | MATHNET-071d | MATHNET-09jx | MATHNET-0jv5 | MATHNET-0j12 | MATHNET-0d0r | MATHNET-0aae | MATHNET-07l2,0.8702 | 0.8550 | 0.7464 | 0.7280 | 0.7250 | 0.7174 | 0.7154 | 0.7125 | 0.7075 | 0.7041
MATHNET-010r,MATHNET-0cwk | MATHNET-0jxw | MATHNET-04iz | MATHNET-03xn | MATHNET-0cu5 | MATHNET-0hax | MATHNET-0lfz | MATHNET-0dq2 | MATHNET-035k | MATHNET-08m2,0.7992 | 0.7746 | 0.7736 | 0.7566 | 0.7414 | 0.7359 | 0.7332 | 0.7284 | 0.7245 | 0.7105
MATHNET-0115,MATHNET-0d4q | MATHNET-0cww | MATHNET-0jh7 | MATHNET-01k3 | MATHNET-032t | MATHNET-07du | MATHNET-037b | MATHNET-078n | MATHNET-00ok | MATHNET-0jc8,0.7865 | 0.7503 | 0.7289 | 0.7257 | 0.7103 | 0.7008 | 0.6926 | 0.6864 | 0.6849 | 0.6845
MATHNET-014r,MATHNET-034j | MATHNET-02er | MATHNET-0j86 | MATHNET-0gk7 | MATHNET-03us | MATHNET-0cgo | MATHNET-08io | MATHNET-0590 | MATHNET-0f8j | MATHNET-0c8t,0.7831 | 0.7278 | 0.7212 | 0.7068 | 0.7043 | 0.6854 | 0.6718 | 0.6669 | 0.6669 | 0.6592
MATHNET-014t,MATHNET-0jdx | MATHNET-0az2 | MATHNET-0gda | MATHNET-05j5 | MATHNET-0ii2 | MATHNET-0h3e | MATHNET-02xm | MATHNET-0dw6 | MATHNET-029k | MATHNET-0ig6,0.9068 | 0.8857 | 0.8701 | 0.8567 | 0.8566 | 0.8556 | 0.8552 | 0.8527 | 0.8461 | 0.8428
MATHNET-0157,MATHNET-00k4 | MATHNET-0dil | MATHNET-0kqa | MATHNET-01ub | MATHNET-01el | MATHNET-0hdo | MATHNET-0925 | MATHNET-0cc6 | MATHNET-0ij0 | MATHNET-0j4z,0.8418 | 0.8120 | 0.8063 | 0.8058 | 0.8033 | 0.7933 | 0.7933 | 0.7888 | 0.7843 | 0.7814
MATHNET-017c,MATHNET-0500 | MATHNET-06i3 | MATHNET-0aae | MATHNET-0f8b | MATHNET-01kt | MATHNET-0j3m | MATHNET-06nl | MATHNET-00nb | MATHNET-04a3 | MATHNET-08kn,0.8002 | 0.7929 | 0.7827 | 0.7725 | 0.7710 | 0.7662 | 0.7633 | 0.7587 | 0.7565 | 0.7555
MATHNET-017j,MATHNET-0lbc | MATHNET-08im | MATHNET-0d0r | MATHNET-0cey | MATHNET-0dfz | MATHNET-0a7h | MATHNET-06bz | MATHNET-00f0 | MATHNET-0ag8 | MATHNET-0e73,0.7667 | 0.7599 | 0.7549 | 0.7496 | 0.7407 | 0.7300 | 0.7276 | 0.7111 | 0.7058 | 0.7043
MATHNET-017x,MATHNET-0akk | MATHNET-0bis | MATHNET-03yl | MATHNET-0cu8 | MATHNET-00fc | MATHNET-03bp | MATHNET-07nh | MATHNET-0bd7 | MATHNET-04xa | MATHNET-06jk,0.8309 | 0.8112 | 0.7837 | 0.7758 | 0.7494 | 0.7414 | 0.7328 | 0.7324 | 0.7235 | 0.7200
MATHNET-01b7,MATHNET-0cy2 | MATHNET-06ts | MATHNET-00up | MATHNET-0dq2 | MATHNET-0lfz | MATHNET-04t3 | MATHNET-07l8 | MATHNET-051m | MATHNET-0901 | MATHNET-06pl,0.8351 | 0.8338 | 0.8192 | 0.8109 | 0.8044 | 0.7901 | 0.7816 | 0.7641 | 0.7611 | 0.7571
MATHNET-01b8,MATHNET-0jgz | MATHNET-03n8 | MATHNET-0inh | MATHNET-045v | MATHNET-0h61 | MATHNET-0dps | MATHNET-0lf7 | MATHNET-0iic | MATHNET-00ps | MATHNET-0479,0.8273 | 0.8200 | 0.8198 | 0.8158 | 0.8135 | 0.8034 | 0.8034 | 0.8027 | 0.8016 | 0.8015
MATHNET-01b9,MATHNET-00rl | MATHNET-04qz | MATHNET-07gw | MATHNET-0gq8 | MATHNET-08y2 | MATHNET-00vm | MATHNET-07x2 | MATHNET-0jog | MATHNET-00ps | MATHNET-09xk,0.8790 | 0.8422 | 0.8362 | 0.8179 | 0.7880 | 0.7880 | 0.7848 | 0.7845 | 0.7833 | 0.7761
MATHNET-01bf,MATHNET-0j5i | MATHNET-0bx8 | MATHNET-08pg | MATHNET-02ff | MATHNET-02ex | MATHNET-0500 | MATHNET-08kn | MATHNET-049z | MATHNET-07mb | MATHNET-0b48,0.8438 | 0.8229 | 0.7951 | 0.7879 | 0.7833 | 0.7738 | 0.7720 | 0.7705 | 0.7679 | 0.7583
MATHNET-01bj,MATHNET-0gdx | MATHNET-0759 | MATHNET-02h7 | MATHNET-08kn | MATHNET-04yn | MATHNET-049z | MATHNET-099l | MATHNET-0le9 | MATHNET-07mb | MATHNET-03nf,0.8431 | 0.8269 | 0.8251 | 0.7812 | 0.7712 | 0.7700 | 0.7662 | 0.7646 | 0.7640 | 0.7571
MATHNET-01db,MATHNET-0aj5 | MATHNET-09af | MATHNET-0kqa | MATHNET-09z8 | MATHNET-05ai | MATHNET-0dyz | MATHNET-03w7 | MATHNET-0ij0 | MATHNET-00k4 | MATHNET-05aq,0.8067 | 0.7785 | 0.7784 | 0.7655 | 0.7625 | 0.7616 | 0.7583 | 0.7483 | 0.7471 | 0.7414
MATHNET-01dv,MATHNET-0397 | MATHNET-01f7 | MATHNET-00ul | MATHNET-08wo | MATHNET-0j3m | MATHNET-02eg | MATHNET-0hs4 | MATHNET-0d9u | MATHNET-076c | MATHNET-0ai8,0.8532 | 0.8304 | 0.8218 | 0.8030 | 0.7968 | 0.7848 | 0.7804 | 0.7793 | 0.7766 | 0.7718
MATHNET-01ef,MATHNET-0hog | MATHNET-0hxe | MATHNET-058t | MATHNET-0bot | MATHNET-08y6 | MATHNET-0cz9 | MATHNET-07o3 | MATHNET-0inz | MATHNET-064u | MATHNET-0dbf,0.8567 | 0.8384 | 0.8309 | 0.8192 | 0.8085 | 0.8034 | 0.7971 | 0.7942 | 0.7941 | 0.7933
MATHNET-01ei,MATHNET-03gy | MATHNET-06nw | MATHNET-0kd5 | MATHNET-05aq | MATHNET-04e7 | MATHNET-021o | MATHNET-0k4h | MATHNET-08rj | MATHNET-0agx | MATHNET-03nj,0.8069 | 0.7815 | 0.7697 | 0.7671 | 0.7643 | 0.7589 | 0.7523 | 0.7495 | 0.7285 | 0.7276
MATHNET-01el,MATHNET-01x5 | MATHNET-01ub | MATHNET-00k4 | MATHNET-0157 | MATHNET-0law | MATHNET-0bxp | MATHNET-09z8 | MATHNET-01l8 | MATHNET-0ij0 | MATHNET-03o9,0.8793 | 0.8131 | 0.8044 | 0.8033 | 0.8015 | 0.7964 | 0.7784 | 0.7738 | 0.7717 | 0.7651
MATHNET-01f7,MATHNET-01dv | MATHNET-00ul | MATHNET-0397 | MATHNET-08pm | MATHNET-06dp | MATHNET-0ai8 | MATHNET-00f0 | MATHNET-072g | MATHNET-0lbc | MATHNET-07k2,0.8304 | 0.7935 | 0.7923 | 0.7851 | 0.7851 | 0.7780 | 0.7733 | 0.7699 | 0.7645 | 0.7490
MATHNET-01ii,MATHNET-03n2 | MATHNET-0cy2 | MATHNET-07l8 | MATHNET-0901 | MATHNET-06ts | MATHNET-01b7 | MATHNET-00up | MATHNET-0dq2 | MATHNET-08tg | MATHNET-08q8,0.8237 | 0.7760 | 0.7711 | 0.7177 | 0.7075 | 0.7075 | 0.7017 | 0.6980 | 0.6829 | 0.6695
MATHNET-01k3,MATHNET-0cww | MATHNET-078n | MATHNET-0b2t | MATHNET-0jqi | MATHNET-07du | MATHNET-00ok | MATHNET-032t | MATHNET-0115 | MATHNET-0jh7 | MATHNET-0590,0.7989 | 0.7702 | 0.7662 | 0.7623 | 0.7371 | 0.7285 | 0.7270 | 0.7257 | 0.7204 | 0.7199
