problem_id,domain,subtopic,concepts,problem_type,length_score,equation_score,reasoning_score,proof_score,case_score,steps_score,problem_type_score,domain_score,difficulty_score
MATHNET-0fv5,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments | Induction / smoothing | Games / greedy algorithms",proof and answer,0.8151885289431757,0.43589743589743596,0.0,0.0,0.0,0.1486988847583643,0.8461538461538461,1.0,0.3339333933393339
MATHNET-0g7r,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments",proof and answer,0.20127456186935738,0.24145299145299148,0.0,0.0,0.0,0.32713754646840143,0.8461538461538461,1.0,0.17178860743217175
MATHNET-0glc,Geometry,Plane Geometry,Analytic / Coordinate Methods > Complex numbers in geometry | Analytic / Coordinate Methods > Trigonometry | Circles > Radical axis theorem | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,proof only,0.9373340414232607,0.9519230769230769,0.9813200498132005,0.9703647416413373,0.0,0.9633563462559744,1.0,0.8918918918918919,0.8849492092066351
MATHNET-0gn8,Discrete Mathematics,Combinatorics,Inclusion-exclusion,proof and answer,0.42007434944237915,0.09455128205128205,0.34993773349937735,0.0,0.0,0.1486988847583643,0.8461538461538461,1.0,0.24890703356049898
MATHNET-0h10,Geometry,Plane Geometry,"Advanced Configurations > Brocard point, symmedians | Circles > Tangents | Concurrency and Collinearity > Menelaus' theorem | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing",proof only,0.8969729155602761,0.9038461538461539,0.6587795765877957,0.0,0.0,0.7594264471587892,1.0,0.8918918918918919,0.6520509193776521
MATHNET-0hsp,Geometry,Plane Geometry | Solid Geometry,Volume | 3D Shapes | Analytic / Coordinate Methods > Trigonometry | Triangles > Triangle trigonometry,proof and answer,0.938396176314392,0.8830128205128205,0.8804483188044833,0.0,0.6845238095238095,0.9670738183749337,0.8461538461538461,0.8918918918918919,0.7819531953195322
MATHNET-0l9s,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments",proof and answer,0.553903345724907,0.24145299145299148,0.6587795765877957,0.8882978723404256,0.0,0.32713754646840143,0.8461538461538461,1.0,0.505947023273756
MATHNET-0lgk,Geometry,Plane Geometry,Circles > Tangents | Concurrency and Collinearity > Menelaus' theorem | Miscellaneous > Angle chasing,proof only,0.807222517259692,0.8931623931623932,0.9034869240348692,0.0,0.0,0.8374933616569304,1.0,0.8918918918918919,0.6883759804551886
MATHNET-00ac,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,"Coloring schemes, extremal arguments | Geometric Inequalities > Optimization in geometry | Miscellaneous > Constructions and loci",proof and answer,0.8640467339352098,0.8728632478632478,0.5292652552926526,0.8882978723404256,0.783482142857143,0.8374933616569304,0.8461538461538461,0.9459459459459459,0.7964832197505465
MATHNET-00f5,Geometry,Plane Geometry,Miscellaneous > Constructions and loci,proof only,0.9054699946893255,0.8034188034188033,0.6587795765877957,0.0,0.0,0.9198088157195964,1.0,0.8918918918918919,0.6553941108396556
MATHNET-00ny,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,Miscellaneous > Distance chasing | Miscellaneous > Constructions and loci | Games / greedy algorithms,proof and answer,0.9553903345724907,0.9455128205128206,0.8549190535491905,0.7545592705167175,0.9501488095238098,0.8672331386086033,0.8461538461538461,0.9459459459459459,0.8999935707856501
MATHNET-00s2,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Circles > Radical axis theorem | Circles > Tangents | Miscellaneous > Angle chasing | Miscellaneous > Constructions and loci",proof only,0.895910780669145,0.8931623931623932,0.6587795765877957,0.0,0.0,0.6919808815719597,1.0,0.8918918918918919,0.6416998842741419
MATHNET-0115,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Counting two ways | Coloring schemes, extremal arguments",proof and answer,0.6749867233138607,0.15224358974358973,0.8188044831880449,0.0,0.6845238095238095,0.6919808815719597,0.8461538461538461,1.0,0.5427864214992929
MATHNET-01u2,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments",proof and answer,0.9415825809877855,0.8338675213675214,0.8188044831880449,0.8366261398176291,0.9501488095238098,0.8672331386086033,0.8461538461538461,1.0,0.8807380738073809
MATHNET-020e,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Circles > Tangents | Quadrilaterals > Cyclic quadrilaterals | Transformations > Inversion | Analytic / Coordinate Methods > Cartesian coordinates | Miscellaneous > Angle chasing",proof only,0.9458311205523102,0.9615384615384616,0.9906600249066002,0.8366261398176291,0.783482142857143,0.9500796601168348,1.0,0.8918918918918919,0.9397904076121899
MATHNET-023i,Geometry,Plane Geometry,Circles > Tangents | Triangles | Miscellaneous > Angle chasing | Miscellaneous > Distance chasing,proof and answer,0.8215613382899629,0.8477564102564102,0.0,0.0,0.0,0.8672331386086033,0.8461538461538461,0.8918918918918919,0.4942458531567443
MATHNET-03bq,Geometry,Plane Geometry,"Circles > Radical axis theorem | Advanced Configurations > Polar triangles, harmonic conjugates | Miscellaneous > Constructions and loci",proof and answer,0.38183749336165684,0.5966880341880343,0.34993773349937735,0.0,0.0,0.32713754646840143,0.8461538461538461,0.8918918918918919,0.3493313617075994
MATHNET-03nf,Discrete Mathematics,Combinatorics,"Recursion, bijection",proof and answer,0.700477960701009,0.3888888888888889,0.34993773349937735,0.7545592705167175,0.9278273809523812,0.8672331386086033,0.8461538461538461,1.0,0.6328597145428829
MATHNET-0455,Geometry,Plane Geometry,"Concurrency and Collinearity | Transformations > Homothety | Analytic / Coordinate Methods > Trigonometry | Analytic / Coordinate Methods > Complex numbers in geometry | Miscellaneous > Angle chasing | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",proof only,0.9766330323951141,0.9706196581196581,0.975093399750934,0.7545592705167175,0.0,0.8900690387679234,1.0,0.8918918918918919,0.8602931721743605
MATHNET-048d,Geometry,Plane Geometry,Miscellaneous > Angle chasing | Triangles,proof and answer,0.6240042485395646,0.560363247863248,0.0,0.0,0.6845238095238095,0.6016994158258099,0.8461538461538461,0.8918918918918919,0.4215314388581715
MATHNET-04v9,Geometry,Plane Geometry,"Quadrilaterals > Cyclic quadrilaterals | Transformations > Rotation | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",proof only,0.9001593202336696,0.9391025641025641,0.9682440846824408,0.9224924012158056,0.6845238095238095,0.9038767923526289,1.0,0.8918918918918919,0.9168059663109168
MATHNET-04xs,Discrete Mathematics,Combinatorics | Graph Theory,"Coloring schemes, extremal arguments | Invariants / monovariants",proof and answer,0.9405204460966543,0.9118589743589743,0.8188044831880449,0.0,0.9278273809523812,0.9670738183749337,0.8461538461538461,1.0,0.7985405683425485
MATHNET-056b,Geometry,Plane Geometry,"Miscellaneous > Angle chasing | Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Constructions and loci",proof and answer,0.8906001062134892,0.9204059829059829,0.9221668742216688,0.6109422492401216,0.783482142857143,0.8672331386086033,0.8461538461538461,0.8918918918918919,0.8597466889546099
MATHNET-05dk,Geometry,Plane Geometry,"Circles > Tangents | Transformations > Homothety | Transformations > Inversion | Miscellaneous > Angle chasing | Quadrilaterals > Cyclic quadrilaterals | Analytic / Coordinate Methods > Complex numbers in geometry | Advanced Configurations > Brocard point, symmedians | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",proof only,0.9957514604354752,0.998931623931624,0.9987546699875468,0.9224924012158056,0.0,0.9792883696229421,1.0,0.8918918918918919,0.9070335604989074
MATHNET-05uf,Discrete Mathematics | Geometry,Combinatorics | Graph Theory | Plane Geometry,Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing | Quadrilaterals > Cyclic quadrilaterals | Analytic / Coordinate Methods > Cartesian coordinates | Combinatorial Geometry > Convex hulls | Turán's theorem | Counting two ways,proof and answer,0.9989378651088688,1.0,0.34993773349937735,0.952887537993921,0.0,1.0,0.8461538461538461,0.9459459459459459,0.7752346663237754
MATHNET-062m,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments",proof and answer,0.6930430164630907,0.08173076923076925,0.0,0.0,0.0,0.8672331386086033,0.8461538461538461,1.0,0.32740774077407747
MATHNET-065e,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing",proof and answer,0.4753053637812002,0.6260683760683762,0.7540473225404732,0.0,0.0,0.7594264471587892,0.8461538461538461,0.8918918918918919,0.5130513051305131
MATHNET-06ke,Geometry,Plane Geometry,Combinatorial Geometry > Convex hulls | Transformations > Homothety | Miscellaneous > Angle chasing | Miscellaneous > Distance chasing | Geometric Inequalities > Optimization in geometry,proof only,0.9628252788104089,0.9663461538461537,0.985678704856787,0.9962006079027356,0.9784226190476192,0.9713223579394583,1.0,0.8918918918918919,0.9834126269769837
MATHNET-06si,Discrete Mathematics | Geometry | Number Theory,Combinatorics | Modular Arithmetic | Number-Theoretic Functions | Plane Geometry,"Enumeration with symmetry | Recursion, bijection | Induction / smoothing | φ (Euler's totient) | Inverses mod n | Miscellaneous > Constructions and loci",proof and answer,0.9925650557620818,0.9946581196581197,0.9950186799501868,0.9650455927051672,0.9985119047619049,0.9915029208709506,0.8461538461538461,0.9459459459459459,0.9927349877844928
MATHNET-06ze,Geometry,Plane Geometry,Circles > Tangents | Analytic / Coordinate Methods > Cartesian coordinates | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing,proof and answer,0.4614976101964949,0.7692307692307693,0.6587795765877957,0.6109422492401216,0.552827380952381,0.6016994158258099,0.8461538461538461,0.8918918918918919,0.6220907805066223
MATHNET-0759,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing | Pigeonhole principle,proof only,0.75570897503983,0.5096153846153847,0.5292652552926526,0.8882978723404256,0.9002976190476191,0.8061603823685608,1.0,0.9459459459459459,0.7174038832454674
MATHNET-07cz,Geometry,Plane Geometry,Circles > Tangents | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing | Miscellaneous > Constructions and loci,proof only,0.8783855549654805,0.7895299145299146,0.9887920298879203,0.0,0.552827380952381,0.32713754646840143,1.0,0.8918918918918919,0.6904976211906908
MATHNET-07uh,Geometry,Plane Geometry,Circles > Tangents | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,proof only,0.7801380775358471,0.8402777777777778,0.8804483188044833,0.7545592705167175,0.6845238095238095,0.8900690387679234,1.0,0.8918918918918919,0.828790021859329
MATHNET-081p,Geometry,Plane Geometry,Analytic / Coordinate Methods > Cartesian coordinates | Transformations > Rotation | Miscellaneous > Constructions and loci | Miscellaneous > Distance chasing,proof and answer,0.7381837493361656,0.6260683760683762,0.0,0.0,0.0,0.8374933616569304,0.8461538461538461,0.8918918918918919,0.43043590073293037
MATHNET-08n2,Geometry,Plane Geometry,"Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing | Miscellaneous > Distance chasing",proof only,0.8013807753584705,0.8637820512820513,0.9813200498132005,0.0,0.0,0.4843335103558152,1.0,0.8918918918918919,0.6549762119069052
MATHNET-08tg,Geometry,Plane Geometry,Circles > Tangents | Transformations > Homothety | Transformations > Rotation | Miscellaneous > Angle chasing,proof and answer,0.52947424322889,0.6116452991452992,0.7540473225404732,0.6109422492401216,0.0,0.4843335103558152,0.8461538461538461,0.8918918918918919,0.5677960653208178
